alias_clean,substance_clean,alias_type,source,confidence_prior
aldomet,methyldopa,salt_hydrate_resolution,llm_curated,1
alfentanil hydrochloride,alfentanil,salt_hydrate_resolution,llm_curated,1
alimta,pemetrexed,salt_hydrate_resolution,llm_curated,1
aliskiren hemifumarate,aliskiren,salt_hydrate_resolution,llm_curated,1
almotriptan,almotriptan,salt_hydrate_resolution,llm_curated,1
aln-ttrsc02,vutrisiran,salt_hydrate_resolution,llm_curated,1
amantadine hydrochloride,amantadine,salt_hydrate_resolution,llm_curated,1
ameile,aumolertinib,salt_hydrate_resolution,llm_curated,1
amerol,aumolertinib,salt_hydrate_resolution,llm_curated,1
amg 706,motesanib,salt_hydrate_resolution,llm_curated,1
amikacin sulphate,amikacin,salt_hydrate_resolution,llm_curated,1
amiloride hydrochloride,amiloride,salt_hydrate_resolution,llm_curated,1
amiodarone hydrochloride,amiodarone,salt_hydrate_resolution,llm_curated,1
amitriptyline hydrochloride,amitriptyline,salt_hydrate_resolution,llm_curated,1
amlodipine besilate,amlodipine besilate,salt_hydrate_resolution,llm_curated,1
amlodipine besylate,amlodipine,salt_hydrate_resolution,llm_curated,1
ammonia,ammonia,salt_hydrate_resolution,llm_curated,1
ampicillin sodium,ampicillin,salt_hydrate_resolution,llm_curated,1
anagrelide hydrochloride monohydrate,anagrelide,salt_hydrate_resolution,llm_curated,1
anavex,blarcamesine,salt_hydrate_resolution,llm_curated,1
angiotensin ii,angiotensin ii,salt_hydrate_resolution,llm_curated,1
antepar,piperazine,salt_hydrate_resolution,llm_curated,1
antithrombin iii,antithrombin iii,salt_hydrate_resolution,llm_curated,1
apd791,temanogrel,salt_hydrate_resolution,llm_curated,1
aqumeldi,enalapril maleate,salt_hydrate_resolution,llm_curated,1
ar-13324,netarsudil,salt_hydrate_resolution,llm_curated,1
arginine hydrochloride,arginine,salt_hydrate_resolution,llm_curated,1
ariclaim,duloxetine,salt_hydrate_resolution,llm_curated,1
arimoclomol citrate,arimoclomol,salt_hydrate_resolution,llm_curated,1
aripiprazole lauroxil,aripiprazole,salt_hydrate_resolution,llm_curated,1
articaine hydrochloride,articaine,salt_hydrate_resolution,llm_curated,1
atazanavir sulfate,atazanavir,salt_hydrate_resolution,llm_curated,1
atazanavir sulphate,atazanavir,salt_hydrate_resolution,llm_curated,1
atenativ,antithrombin iii,salt_hydrate_resolution,llm_curated,1
ati-5923,tecarfarin,salt_hydrate_resolution,llm_curated,1
atomoxetine hydrochloride,atomoxetine,salt_hydrate_resolution,llm_curated,1
atropine sulfate,atropine,salt_hydrate_resolution,llm_curated,1
av-951,tivozanib,salt_hydrate_resolution,llm_curated,1
avandamet,rosiglitazone,salt_hydrate_resolution,llm_curated,1
avandia,rosiglitazone,salt_hydrate_resolution,llm_curated,1
avelox,moxifloxacin,salt_hydrate_resolution,llm_curated,1
aventyl,nortriptyline,salt_hydrate_resolution,llm_curated,1
avibactam sodium,avibactam,salt_hydrate_resolution,llm_curated,1
avonex,interferon beta,salt_hydrate_resolution,llm_curated,1
ay-5710,magaldrate,salt_hydrate_resolution,llm_curated,1
azelastine hydrochloride,azelastine,salt_hydrate_resolution,llm_curated,1
azilect,rasagiline,salt_hydrate_resolution,llm_curated,1
azithromycin monohydrate,azithromycin,salt_hydrate_resolution,llm_curated,1
bactroban,mupirocin,salt_hydrate_resolution,llm_curated,1
balaxur,memantine hydrochloride,salt_hydrate_resolution,llm_curated,1
bazedoxifene acetate,bazedoxifene,salt_hydrate_resolution,llm_curated,1
bbr 2778,pixantrone,salt_hydrate_resolution,llm_curated,1
bcx-1777,forodesine,salt_hydrate_resolution,llm_curated,1
beclometasone,beclomethasone,salt_hydrate_resolution,llm_curated,1
beclomethasone,beclomethasone,salt_hydrate_resolution,llm_curated,1
bedaquiline fumarate,bedaquiline,salt_hydrate_resolution,llm_curated,1
bemiparin sodium,bemiparin,salt_hydrate_resolution,llm_curated,1
benzydamine hydrochloride,benzydamine,salt_hydrate_resolution,llm_curated,1
besponsa,inotuzumab,salt_hydrate_resolution,llm_curated,1
betahistine dihydrochloride,betahistine,salt_hydrate_resolution,llm_curated,1
betamethasone acetate,betamethasone,salt_hydrate_resolution,llm_curated,1
betamethasone acibutate,betamethasone,salt_hydrate_resolution,llm_curated,1
betamethasone sodium phosphate,betamethasone,salt_hydrate_resolution,llm_curated,1
betamethasoni valeras,betamethasone,salt_hydrate_resolution,llm_curated,1
betoptic,betaxolol,salt_hydrate_resolution,llm_curated,1
betrixaban,betrixaban,salt_hydrate_resolution,llm_curated,1
betrixaban maleate,betrixaban,salt_hydrate_resolution,llm_curated,1
bevantolol hydrochloride,bevantolol,salt_hydrate_resolution,llm_curated,1
bia 2-093,eslicarbazepine,salt_hydrate_resolution,llm_curated,1
biktarvy,bictegravir,salt_hydrate_resolution,llm_curated,1
bindren,colestilan,salt_hydrate_resolution,llm_curated,1
bismuth subcitrate,bismuth subcitrate,salt_hydrate_resolution,llm_curated,1
bismuth subcitrate potassium,bismuth subcitrate,salt_hydrate_resolution,llm_curated,1
bisoprolol fumarate,bisoprolol,salt_hydrate_resolution,llm_curated,1
bisoprolol hemifumarate,bisoprolol,salt_hydrate_resolution,llm_curated,1
blocadren,timolol,salt_hydrate_resolution,llm_curated,1
bortezomib accord,bortezomib,salt_hydrate_resolution,llm_curated,1
bortezomib fresenius kabi,bortezomib,salt_hydrate_resolution,llm_curated,1
bortezomib hospira,bortezomib,salt_hydrate_resolution,llm_curated,1
bortezomib sun,bortezomib,salt_hydrate_resolution,llm_curated,1
bri 7013,astodrimer,salt_hydrate_resolution,llm_curated,1
bri-7013,astodrimer,salt_hydrate_resolution,llm_curated,1
bri7013,astodrimer,salt_hydrate_resolution,llm_curated,1
bridion,sugammadex,salt_hydrate_resolution,llm_curated,1
brintellix,vortioxetine,salt_hydrate_resolution,llm_curated,1
bromelain,bromelain,salt_hydrate_resolution,llm_curated,1
bromocriptine mesilate,bromocriptine,salt_hydrate_resolution,llm_curated,1
bromuro de tiotropio,tiotropium,salt_hydrate_resolution,llm_curated,1
buccolam,midazolam,salt_hydrate_resolution,llm_curated,1
bucindolol hydrochloride,bucindolol,salt_hydrate_resolution,llm_curated,1
bulevirtide,bulevirtide,salt_hydrate_resolution,llm_curated,1
bupivacaine hydrochloride,bupivacaine,salt_hydrate_resolution,llm_curated,1
buserelin acetate,buserelin,salt_hydrate_resolution,llm_curated,1
byfavo,remimazolam besilate,salt_hydrate_resolution,llm_curated,1
bylvay,odevixibat,salt_hydrate_resolution,llm_curated,1
cabotegravir sodium,cabotegravir,salt_hydrate_resolution,llm_curated,1
calcium levofolinate pentahydrate,levoleucovorin,salt_hydrate_resolution,llm_curated,1
camostat mesilate,camostat,salt_hydrate_resolution,llm_curated,1
camostat mesylate,camostat,salt_hydrate_resolution,llm_curated,1
canfosfamide hcl,canfosfamide,salt_hydrate_resolution,llm_curated,1
cangrelor tetrasodium,cangrelor,salt_hydrate_resolution,llm_curated,1
capsicum oleoresin,capsicum,salt_hydrate_resolution,llm_curated,1
cariprazine hcl,cariprazine,salt_hydrate_resolution,llm_curated,1
cariprazine hydrochloride,cariprazine,salt_hydrate_resolution,llm_curated,1
carphenazine,carphenazine,salt_hydrate_resolution,llm_curated,1
caspofungin diacetate,caspofungin,salt_hydrate_resolution,llm_curated,1
cb-01-11,rifamycin,salt_hydrate_resolution,llm_curated,1
cc-220,iberdomide,salt_hydrate_resolution,llm_curated,1
cefazolin sodium,cefazolin,salt_hydrate_resolution,llm_curated,1
cefepime dihydrochloride monohydrate,cefepime,salt_hydrate_resolution,llm_curated,1
cefepime hydrochloride,cefepime,salt_hydrate_resolution,llm_curated,1
cefotaxime sodium,cefotaxime,salt_hydrate_resolution,llm_curated,1
ceftobiprole,ceftobiprole,salt_hydrate_resolution,llm_curated,1
ceftobiprole medocaril sodium,ceftobiprole medocaril,salt_hydrate_resolution,llm_curated,1
ceftriaxone sodium,ceftriaxone,salt_hydrate_resolution,llm_curated,1
cefuroxime,cefuroxime,salt_hydrate_resolution,llm_curated,1
cefuroxime sodium,cefuroxime,salt_hydrate_resolution,llm_curated,1
celestone,betamethasone,salt_hydrate_resolution,llm_curated,1
cerdelga,eliglustat tartrate,salt_hydrate_resolution,llm_curated,1
certifect,amitraz,salt_hydrate_resolution,llm_curated,1
cetirizine dihydrochloride,cetirizine,salt_hydrate_resolution,llm_curated,1
cetraxal,ciprofloxacin,salt_hydrate_resolution,llm_curated,1
cetrorelix,cetrorelix,salt_hydrate_resolution,llm_curated,1
cetrorelix acetate,cetrorelix,salt_hydrate_resolution,llm_curated,1
cetylpyridinium chloride,cetylpyridinium,salt_hydrate_resolution,llm_curated,1
cg-315e,tramadol,salt_hydrate_resolution,llm_curated,1
champix,varenicline,salt_hydrate_resolution,llm_curated,1
chir-258,dovitinib,salt_hydrate_resolution,llm_curated,1
chlorhexidine digluconate,chlorhexidine,salt_hydrate_resolution,llm_curated,1
chlorhexidine gluconate,chlorhexidine,salt_hydrate_resolution,llm_curated,1
chloromycetin,chloramphenicol,salt_hydrate_resolution,llm_curated,1
chloroprocaine hydrochloride,chloroprocaine,salt_hydrate_resolution,llm_curated,1
chlorphenamine maleate,chlorpheniramine,salt_hydrate_resolution,llm_curated,1
chondroitin sulfate,chondroitin sulfate,salt_hydrate_resolution,llm_curated,1
chondroitin sulfate sodium,chondroitin sulfate,salt_hydrate_resolution,llm_curated,1
ciclofosfamida,cyclophosphamide,salt_hydrate_resolution,llm_curated,1
ciclopirox olamine,ciclopirox,salt_hydrate_resolution,llm_curated,1
cilastatin sodium,cilastatin,salt_hydrate_resolution,llm_curated,1
cipro,ciprofloxacin,salt_hydrate_resolution,llm_curated,1
ciprofloxacin hydrochloride,ciprofloxacin,salt_hydrate_resolution,llm_curated,1
ciprofloxacin hydrochloride monohydrate,ciprofloxacin,salt_hydrate_resolution,llm_curated,1
ciproxin,ciprofloxacin,salt_hydrate_resolution,llm_curated,1
cisatracurium besilate,cisatracurium,salt_hydrate_resolution,llm_curated,1
citalopram hbr,citalopram,salt_hydrate_resolution,llm_curated,1
citalopram hydrobromide,citalopram,salt_hydrate_resolution,llm_curated,1
citicoline,citicoline,salt_hydrate_resolution,llm_curated,1
"cl 297,939",bisoprolol,salt_hydrate_resolution,llm_curated,1
clemastine hydrogen fumarate,clemastine,salt_hydrate_resolution,llm_curated,1
clenbuterol hydrochloride,clenbuterol,salt_hydrate_resolution,llm_curated,1
clindamycin hydrochloride,clindamycin,salt_hydrate_resolution,llm_curated,1
clindamycin palmitate hydrochloride,clindamycin,salt_hydrate_resolution,llm_curated,1
clindamycin phosphate,clindamycin,salt_hydrate_resolution,llm_curated,1
clobetasol,clobetasol,salt_hydrate_resolution,llm_curated,1
clomicalm,clomipramine,salt_hydrate_resolution,llm_curated,1
clomifene citrate,clomiphene,salt_hydrate_resolution,llm_curated,1
clonidine hcl,clonidine,salt_hydrate_resolution,llm_curated,1
clonidine hydrochloride,clonidine,salt_hydrate_resolution,llm_curated,1
clopidogrel 1a pharma,clopidogrel,salt_hydrate_resolution,llm_curated,1
clopidogrel acino,clopidogrel,salt_hydrate_resolution,llm_curated,1
clopidogrel acino pharma,clopidogrel,salt_hydrate_resolution,llm_curated,1
clopidogrel acino pharma gmbh,clopidogrel,salt_hydrate_resolution,llm_curated,1
clopidogrel hexal,clopidogrel,salt_hydrate_resolution,llm_curated,1
clopidogrel ratiopharm gmbh,clopidogrel,salt_hydrate_resolution,llm_curated,1
clopidogrel sandoz,clopidogrel,salt_hydrate_resolution,llm_curated,1
clopidogrel teva pharma,clopidogrel,salt_hydrate_resolution,llm_curated,1
clopidogrel zentiva (previously clopidogrel winthrop),clopidogrel,salt_hydrate_resolution,llm_curated,1
clorazepate dipotassique,clorazepate,salt_hydrate_resolution,llm_curated,1
cloxacillin sodium,cloxacillin,salt_hydrate_resolution,llm_curated,1
cobitolimod,cobitolimod,salt_hydrate_resolution,llm_curated,1
cocaine hcl,cocaine,salt_hydrate_resolution,llm_curated,1
codeine phosphate,codeine,salt_hydrate_resolution,llm_curated,1
codeine phosphate hemihydrate,codeine,salt_hydrate_resolution,llm_curated,1
colesevelam hcl,colesevelam,salt_hydrate_resolution,llm_curated,1
colesevelam hydrochloride,colesevelam,salt_hydrate_resolution,llm_curated,1
colistin sulfate,colistin,salt_hydrate_resolution,llm_curated,1
colistin sulphate,colistin,salt_hydrate_resolution,llm_curated,1
conbriza,bazedoxifene,salt_hydrate_resolution,llm_curated,1
controloc control,pantoprazole,salt_hydrate_resolution,llm_curated,1
convenia,cefovecin,salt_hydrate_resolution,llm_curated,1
copiktra,duvelisib,salt_hydrate_resolution,llm_curated,1
cortef,hydrocortisone,salt_hydrate_resolution,llm_curated,1
cortisone,cortisone,salt_hydrate_resolution,llm_curated,1
cortisone acetate,cortisone,salt_hydrate_resolution,llm_curated,1
cortril,hydrocortisone,salt_hydrate_resolution,llm_curated,1
cotellic,cobimetinib fumarate,salt_hydrate_resolution,llm_curated,1
crenolanib besylate,crenolanib,salt_hydrate_resolution,llm_curated,1
crixivan,indinavir sulfate,salt_hydrate_resolution,llm_curated,1
cufence,trientine hydrochloride,salt_hydrate_resolution,llm_curated,1
cymbalta,duloxetine,salt_hydrate_resolution,llm_curated,1
cystadane,betaine,salt_hydrate_resolution,llm_curated,1
cysteamine bitartrate,cysteamine,salt_hydrate_resolution,llm_curated,1
cysteamine hydrochloride,cysteamine,salt_hydrate_resolution,llm_curated,1
cyt387,momelotinib,salt_hydrate_resolution,llm_curated,1
cytovene,ganciclovir,salt_hydrate_resolution,llm_curated,1
dabigatran etexilate accord,dabigatran etexilate mesilate,salt_hydrate_resolution,llm_curated,1
dabrafenib mesylate,dabrafenib,salt_hydrate_resolution,llm_curated,1
daclatasvir dihydrochloride,daclatasvir,salt_hydrate_resolution,llm_curated,1
dantrolen,dantrolene,salt_hydrate_resolution,llm_curated,1
daquiran,pramipexole dihydrochloride,salt_hydrate_resolution,llm_curated,1
darunavir ethanolate,darunavir,salt_hydrate_resolution,llm_curated,1
dasabuvir sodium monohydrate,dasabuvir,salt_hydrate_resolution,llm_curated,1
dasatinib accord,dasatinib,salt_hydrate_resolution,llm_curated,1
dasatinib accord healthcare,dasatinib,salt_hydrate_resolution,llm_curated,1
dasatinib accordpharma,dasatinib,salt_hydrate_resolution,llm_curated,1
dcfpyl,piflufolastat,salt_hydrate_resolution,llm_curated,1
decadron,dexamethasone,salt_hydrate_resolution,llm_curated,1
dectancyl,dexamethasone,salt_hydrate_resolution,llm_curated,1
dectova,zanamivir,salt_hydrate_resolution,llm_curated,1
deferoxamine mesilate,deferoxamine,salt_hydrate_resolution,llm_curated,1
defitelio,defibrotide,salt_hydrate_resolution,llm_curated,1
degarelix acetate,degarelix,salt_hydrate_resolution,llm_curated,1
delafloxacin meglumine,delafloxacin,salt_hydrate_resolution,llm_curated,1
desferrioxamine mesilate,deferoxamine,salt_hydrate_resolution,llm_curated,1
desmopressin acetate,desmopressin,salt_hydrate_resolution,llm_curated,1
desmopressin acetate trihydrate,desmopressin,salt_hydrate_resolution,llm_curated,1
desvenlafaxine succinate,desvenlafaxine,salt_hydrate_resolution,llm_curated,1
deuruxolitinib phosphate,deuruxolitinib,salt_hydrate_resolution,llm_curated,1
dextran,dextran,salt_hydrate_resolution,llm_curated,1
dextran 40,dextran,salt_hydrate_resolution,llm_curated,1
dextropropoxyphene,propoxyphene,salt_hydrate_resolution,llm_curated,1
diamox,acetazolamide,salt_hydrate_resolution,llm_curated,1
diclofenac diethylamine,diclofenac,salt_hydrate_resolution,llm_curated,1
diclofenac diethylammonium,diclofenac,salt_hydrate_resolution,llm_curated,1
diclofenac epolamine,diclofenac,salt_hydrate_resolution,llm_curated,1
diclofenac epolaminum,diclofenac,salt_hydrate_resolution,llm_curated,1
diclofenac potassium,diclofenac,salt_hydrate_resolution,llm_curated,1
diclofenac-sodium,diclofenac,salt_hydrate_resolution,llm_curated,1
dilantin,phenytoin,salt_hydrate_resolution,llm_curated,1
dimethisterone,dimethisterone,salt_hydrate_resolution,llm_curated,1
dimetindene maleate,dimethindene,salt_hydrate_resolution,llm_curated,1
diphenhydramine hydrochloride,diphenhydramine,salt_hydrate_resolution,llm_curated,1
diractin,ketoprofen,salt_hydrate_resolution,llm_curated,1
diroximel fumarate,diroximel fumarate,salt_hydrate_resolution,llm_curated,1
diuril,chlorothiazide,salt_hydrate_resolution,llm_curated,1
dobutamine hydrochloride,dobutamine,salt_hydrate_resolution,llm_curated,1
docefrez,docetaxel,salt_hydrate_resolution,llm_curated,1
docetaxel kabi,docetaxel,salt_hydrate_resolution,llm_curated,1
docetaxel mylan,docetaxel,salt_hydrate_resolution,llm_curated,1
docetaxel teva pharma,docetaxel,salt_hydrate_resolution,llm_curated,1
docusate sodium,docusate,salt_hydrate_resolution,llm_curated,1
dolutegravir sodium,dolutegravir,salt_hydrate_resolution,llm_curated,1
donepezil hydrochloride,donepezil,salt_hydrate_resolution,llm_curated,1
dopamine hcl,dopamine,salt_hydrate_resolution,llm_curated,1
dopamine hydrochloride,dopamine,salt_hydrate_resolution,llm_curated,1
doribax,doripenem,salt_hydrate_resolution,llm_curated,1
doripenem monohydrate,doripenem,salt_hydrate_resolution,llm_curated,1
dorzolamide hydrochloride,dorzolamide,salt_hydrate_resolution,llm_curated,1
"dov 216,419",centanafadine,salt_hydrate_resolution,llm_curated,1
dov 21947,amitifadine,salt_hydrate_resolution,llm_curated,1
dovato,dolutegravir sodium,salt_hydrate_resolution,llm_curated,1
doxazosin mesilate,doxazosin,salt_hydrate_resolution,llm_curated,1
doxorubicini hydrochloridum,doxorubicin,salt_hydrate_resolution,llm_curated,1
doxycycline hyclate,doxycycline,salt_hydrate_resolution,llm_curated,1
dronedarone hydrochloride,dronedarone,salt_hydrate_resolution,llm_curated,1
drotrecogin alfa activated,drotrecogin alfa,salt_hydrate_resolution,llm_curated,1
duavive,bazedoxifene acetate,salt_hydrate_resolution,llm_curated,1
duloxetine boehringer ingelheim,duloxetine,salt_hydrate_resolution,llm_curated,1
duloxetine lilly,duloxetine,salt_hydrate_resolution,llm_curated,1
duloxetine zentiva,duloxetine,salt_hydrate_resolution,llm_curated,1
duoresp spiromax,budesonide,salt_hydrate_resolution,llm_curated,1
